atom_id,uc_id,type,FeO_coord,threshold,is_surface_after_pbc,n_pbc_uc,total_interactions,excluded_due_to_pbc,x,y,z
1947,0,FeA,0,4,0,24,0,0,38.94,38.94,53.1
1948,0,FeA,0,4,0,24,0,0,42.48,38.94,53.1
1949,0,FeA,0,4,0,24,0,0,46.02,38.94,53.1
1950,0,FeA,0,4,0,24,0,0,49.56,38.94,53.1
1951,0,FeA,0,4,0,24,0,0,53.1,38.94,53.1
1952,0,FeA,0,4,0,24,0,0,56.64,38.94,53.1
1953,0,FeA,0,4,0,24,0,0,60.18,38.94,53.1
1954,0,FeA,0,4,0,24,0,0,63.72,38.94,53.1
1955,0,FeA,0,4,0,24,0,0,67.26,38.94,53.1
1956,0,FeA,0,4,0,24,0,0,70.8,38.94,53.1
1957,0,FeA,0,4,0,24,0,0,74.34,38.94,53.1
1958,0,FeA,0,4,0,24,0,0,0,38.94,56.64
1959,0,FeA,0,4,0,24,0,0,3.54,38.94,56.64
1960,0,FeA,0,4,0,24,0,0,7.08,38.94,56.64
1961,0,FeA,0,4,0,24,0,0,10.62,38.94,56.64
1962,0,FeA,0,4,0,24,0,0,14.16,38.94,56.64
1963,0,FeA,0,4,0,24,0,0,17.7,38.94,56.64
1964,0,FeA,0,4,0,24,0,0,21.24,38.94,56.64
1965,0,FeA,0,4,0,24,0,0,24.78,38.94,56.64
1966,0,FeA,0,4,0,24,0,0,28.32,38.94,56.64
1967,0,FeA,0,4,0,24,0,0,31.86,38.94,56.64
1968,0,FeA,0,4,0,24,0,0,35.4,38.94,56.64
1969,0,FeA,0,4,0,24,0,0,38.94,38.94,56.64
1970,0,FeA,0,4,0,24,0,0,42.48,38.94,56.64
1971,0,FeA,0,4,0,24,0,0,46.02,38.94,56.64
1972,0,FeA,0,4,0,24,0,0,49.56,38.94,56.64
1973,0,FeA,0,4,0,24,0,0,53.1,38.94,56.64
1974,0,FeA,0,4,0,24,0,0,56.64,38.94,56.64
1975,0,FeA,0,4,0,24,0,0,60.18,38.94,56.64
1976,0,FeA,0,4,0,24,0,0,63.72,38.94,56.64
1977,0,FeA,0,4,0,24,0,0,67.26,38.94,56.64
1978,0,FeA,0,4,0,24,0,0,70.8,38.94,56.64
1979,0,FeA,0,4,0,24,0,0,74.34,38.94,56.64
1980,0,FeA,0,4,0,24,0,0,0,38.94,60.18
1981,0,FeA,0,4,0,24,0,0,3.54,38.94,60.18
1982,0,FeA,0,4,0,24,0,0,7.08,38.94,60.18
1983,0,FeA,0,4,0,24,0,0,10.62,38.94,60.18
1984,0,FeA,0,4,0,24,0,0,14.16,38.94,60.18
1985,0,FeA,0,4,0,24,0,0,17.7,38.94,60.18
1986,0,FeA,0,4,0,24,0,0,21.24,38.94,60.18
1987,0,FeA,0,4,0,24,0,0,24.78,38.94,60.18
1988,0,FeA,0,4,0,24,0,0,28.32,38.94,60.18
1989,0,FeA,0,4,0,24,0,0,31.86,38.94,60.18
1990,0,FeA,0,4,0,24,0,0,35.4,38.94,60.18
1991,0,FeA,0,4,0,24,0,0,38.94,38.94,60.18
1992,0,FeA,0,4,0,24,0,0,42.48,38.94,60.18
1993,0,FeA,0,4,0,24,0,0,46.02,38.94,60.18
1994,0,FeA,0,4,0,24,0,0,49.56,38.94,60.18
1995,0,FeA,0,4,0,24,0,0,53.1,38.94,60.18
1996,0,FeA,0,4,0,24,0,0,56.64,38.94,60.18
1997,0,FeA,0,4,0,24,0,0,60.18,38.94,60.18
1998,0,FeA,0,4,0,24,0,0,63.72,38.94,60.18
1999,0,FeA,0,4,0,24,0,0,67.26,38.94,60.18
2000,0,FeA,0,4,0,24,0,0,70.8,38.94,60.18
2001,0,FeA,0,4,0,24,0,0,74.34,38.94,60.18
2002,0,FeA,0,4,0,24,0,0,0,38.94,63.72
2003,0,FeA,0,4,0,24,0,0,3.54,38.94,63.72
2004,0,FeA,0,4,0,24,0,0,7.08,38.94,63.72
2005,0,FeA,0,4,0,24,0,0,10.62,38.94,63.72
2006,0,FeA,0,4,0,24,0,0,14.16,38.94,63.72
